_timestamp,_step,loss_boundary,loss_interior,time,l2_error,loss,step,_runtime
1715515114.6897137,42,0.030676344295790515,0.0025305640775844175,8.752941846847534,0.1325348498645929,0.033206908373374935,46,12.558421611785889
1715515115.271823,43,0.027425699265874504,0.003105135337002589,9.335014820098877,0.11192781519981798,0.030530834602877095,50,13.140530824661255
1715515115.9951596,44,0.020248194652799936,0.005512958184018313,10.058331489562988,0.09753726429454593,0.02576115283681825,55,13.86386752128601
1715515116.9115663,45,0.019527197787660235,0.004714532581700296,10.97486400604248,0.0962154168817193,0.02424173036936053,61,14.780274152755737
1715515117.841054,46,0.018579601727315792,0.0035778614222926873,11.904304504394531,0.09650728325890737,0.02215746314960848,67,15.70976185798645
1715515118.762597,47,0.017380696486760935,0.002593594311428995,12.825847864151001,0.09445452966078373,0.01997429079818993,73,16.63130497932434
1715515119.927231,48,0.015749609738272465,0.0021302416086978024,13.99064326286316,0.09197595499345987,0.017879851346970267,81,17.795938968658447
1715515121.0890946,49,0.013604712945996831,0.0016568974931798345,15.152496099472046,0.08352885131940603,0.015261610439176666,89,18.957802534103394
1715515122.4531941,50,0.012148177766176478,0.0017752569832203255,16.516607999801636,0.08130912665195718,0.013923434749396803,98,20.32190203666687
1715515123.744241,51,0.009541493592751549,0.002391856260151427,17.807554960250854,0.0729395142457436,0.011933349852902977,107,21.612948894500732
1715515125.3799908,52,0.008264331207712597,0.002220308405887233,19.44331431388855,0.06928819350819536,0.01048463961359983,118,23.248698711395264
1715515127.1602137,53,0.0061995398577939015,0.0021022062453604916,21.223511219024658,0.06141247124218563,0.008301746103154393,130,25.028921604156494
1715515129.1180277,54,0.004135742184835031,0.0017622315784754949,23.18138098716736,0.050801147689205996,0.005897973763310527,143,26.986735582351685
1715515131.2773702,55,0.002801515606233615,0.0012921667077853878,25.340688705444336,0.03808805671150197,0.004093682314019003,157,29.14607810974121
1715515133.5693035,56,0.001663572815305869,0.0010245524223051513,27.632522583007812,0.03276944490009526,0.0026881252376110202,172,31.438011407852173
1715515136.29319,57,0.001011842908918852,0.0009569585668515566,30.356153964996338,0.026106946813256583,0.001968801475770409,190,34.16189789772034
1715515139.0740066,58,0.0006768889161865001,0.0007754751179648693,33.13729214668274,0.022067084763635423,0.0014523640341513695,208,36.94271445274353
1715515142.24416,59,0.0003934862459561715,0.0006731768912171771,36.307419776916504,0.017305588689494108,0.0010666631371733487,229,40.11286783218384
1715515145.5633292,60,0.00024527421295847797,0.0004980119323359069,39.62660217285156,0.012050808574205697,0.0007432861452943848,252,43.432037115097046
1715515149.2757273,61,0.0001017127511693508,0.0003145964126980691,43.338836908340454,0.008964256494238513,0.0004163091638674199,277,47.14443516731262
1715515153.4281003,62,5.1563576310540205e-05,0.00016522152388538842,47.491103649139404,0.005764734503726363,0.00021678510019592864,305,51.29680824279785
1715515157.899763,63,1.5614437961183053e-05,7.729261212340277e-05,51.96296501159668,0.0027396260829433187,9.290705008458582e-05,335,55.768471002578735
1715515163.1473618,64,6.274257784159651e-06,4.1871423946059816e-05,57.2105598449707,0.0017451596378198857,4.814568173021947e-05,369,61.016069650650024
1715515168.7067497,65,2.9603741093568173e-06,2.511631893059691e-05,62.76997947692871,0.0011957129808267842,2.8076693039953727e-05,406,66.57545757293701
1715515174.706729,66,1.6832459476533688e-06,1.74669070945586e-05,68.76968145370483,0.0008394807456074797,1.9150153042211968e-05,446,72.57543683052063
1715515181.5304942,67,7.431168619000448e-07,1.088860353896113e-05,75.59371948242188,0.0005025613684892965,1.1631720400861174e-05,491,79.39920210838318
