l2_error,_timestamp,loss_interior,loss,loss_boundary,time,_step,_runtime,step
1.5835382027608644,1715421446.2008257,122.84922346925073,124.38081866210017,1.5315951928494351,2.9126880168914795,43,7.548362731933594,50
1.5899090768427317,1715421446.305422,122.80583321006118,124.25908368491025,1.4532504748490678,3.0174672603607178,44,7.652959108352661,55
1.583442946477898,1715421446.447962,121.398706859884,122.90603310708906,1.5073262472050561,3.160440444946289,45,7.795499086380005,61
1.5830260058698715,1715421446.5761633,127.22219330391812,128.63576154706524,1.4135682431471377,3.2883598804473877,46,7.923700332641602,67
1.5830986928165078,1715421446.7032514,124.9467028319623,126.41246134575,1.4657585137877012,3.415379524230957,47,8.050788402557373,73
1.5862462317873853,1715421446.8784742,123.12090329495996,124.57739724004526,1.456493945085296,3.5907857418060303,48,8.226011276245117,81
1.5836656775162323,1715421447.0498753,119.51783598739297,121.07716380122343,1.5593278138304618,3.762178421020508,49,8.397412300109863,89
1.5992498672495454,1715421447.2465088,122.67337608020888,124.23448589501209,1.5611098148032019,3.959127426147461,50,8.594045877456665,98
1.5912407267203335,1715421447.4393399,120.25641473972394,121.7977132469442,1.541298507220268,4.15149998664856,51,8.786876916885376,107
1.5935815456369988,1715421447.6702666,123.45608434279686,124.8907209317868,1.4346365889899508,4.382499694824219,52,9.01780366897583,118
1.6271425794018113,1715421447.9213665,122.05841763823288,123.59217482626912,1.5337571880362335,4.6335461139678955,53,9.268903493881226,130
1.5830250130598114,1715421448.1938727,121.91981910782987,123.30241301922335,1.3825939113934793,4.906240701675415,54,9.541409730911255,143
1.5832915059249277,1715421448.4937189,123.31221459973999,124.76798083775697,1.4557662380169716,5.20582127571106,55,9.841255903244019,157
1.5892320300127367,1715421448.8045397,121.05204956042958,122.67778295601252,1.625733395582948,5.517151355743408,56,10.152076721191406,172
1.5832584958361278,1715421449.1841357,122.92268999142061,124.31835481664434,1.395664825223731,5.896696090698242,57,10.531672716140747,190
1.5937459627550037,1715421449.5590415,123.75579132916856,125.25159897715066,1.4958076479821039,6.271630764007568,58,10.906578540802002,208
1.5856918230391426,1715421449.997385,123.59062602025969,125.06363509383904,1.473009073579355,6.7095136642456055,59,11.344922065734863,229
1.5921989020639604,1715421450.477285,118.51464333532583,120.15589429004281,1.6412509547169845,7.189507961273193,60,11.824821949005127,252
1.5955510742645194,1715421450.9919543,121.2576117392113,122.69864780017566,1.4410360609643635,7.704168081283569,61,12.339491367340088,277
1.5854407735303961,1715421451.5854454,122.00875262899811,123.58277956992848,1.574026940930365,8.297553777694702,62,12.932982444763184,305
1.6141097565274338,1715421452.2056272,120.77441578684393,122.28357493756262,1.5091591507186914,8.91770625114441,63,13.55316424369812,335
1.5839253895266707,1715421452.9050405,121.84485041961469,123.2967402911205,1.4518898715058082,9.617044448852539,64,14.252577543258667,369
1.5860123014243654,1715421453.6797767,116.57817194793866,118.12720256881848,1.5490306208798144,10.392396688461304,65,15.027313709259033,406
1.583389790911574,1715421454.5059288,120.45454439237771,122.13495947178555,1.6804150794078327,11.218022108078003,66,15.853465795516968,446
1.590444113908525,1715421455.4315445,121.46005018672436,122.82974176164795,1.3696915749235958,12.14416790008545,67,16.77908158302307,491
1.5923582343349005,1715421456.4410343,124.43592842055915,125.94529377152278,1.509365350963629,13.154370784759521,68,17.78857135772705,540
1.5979562283065303,1715421457.558944,121.8052142384992,123.27886386301168,1.4736496245124717,14.270877838134766,69,18.90648102760315,594
1.5899608157720615,1715421458.7706277,127.04649220211866,128.7702793040855,1.72378710196684,15.483218908309937,70,20.118164777755737,653
1.5993621569919507,1715421460.1171253,122.862738844243,124.35856992248586,1.4958310782428608,16.829163551330566,71,21.464662313461304,718
1.5873169953931678,1715421461.6067472,123.14595625404749,124.56478456209754,1.4188283080500501,18.31938672065735,72,22.954284191131592,790
1.5917750561384407,1715421463.2413988,119.3405084209214,120.87856098252482,1.5380525616034206,19.953556776046753,73,24.58893585205078,869
1.5860194063432524,1715421465.0259593,124.41231531948695,125.90784903607299,1.4955337165860356,21.73851466178894,74,26.373496294021606,956
1.5830200624545592,1715421466.991766,122.71500919108232,124.20953069944223,1.4945215083599155,23.704362869262695,75,28.339303016662598,1052
1.589071487023618,1715421469.1501489,122.63869298990791,124.14473938856462,1.5060463986567016,25.862138509750366,76,30.49768590927124,1157
1.5842449486119414,1715421471.5529962,122.30024540455338,123.88096073824397,1.5807153336905977,28.265331745147705,77,32.9005331993103,1272
1.5843702032594629,1715421474.1925063,121.24317012874108,122.83568302240666,1.592512893665571,30.905089139938354,78,35.540043354034424,1400
1.5926890122119404,1715421477.0165544,122.81054694461912,124.371891844052,1.5613448994328836,33.72911810874939,79,38.36409139633179,1539
1.5851116826881209,1715421480.1675332,122.63647808516487,124.03999731568865,1.4035192305237851,36.87977743148804,80,41.51507019996643,1693
1.5881437078397025,1715421483.6384652,123.42680018719146,124.895407847542,1.468607660350543,40.350576639175415,81,44.98600220680237,1863
1.5839608018180225,1715421487.4567487,124.99582277694228,126.53640894433384,1.540586167391562,44.168880224227905,82,48.804285764694214,2049
1.5831913371516506,1715421491.657313,122.64323184356783,124.09530300506525,1.4520711614974107,48.36964774131775,83,53.00485014915466,2254
1.5856557329113767,1715421496.2964747,123.43403877921727,124.99510345195095,1.5610646727336734,53.00714707374573,84,57.64401173591614,2479
1.5842694329100055,1715421501.4098094,120.26624006290099,121.8133786254237,1.5471385625227045,58.12196111679077,85,62.757346391677856,2727
1.6200316856646477,1715421507.0153291,122.82105304742059,124.62093887487481,1.7998858274542167,63.727269411087036,86,68.36286616325378,3000
1.583260329193562,1715421513.1313825,119.7928562773137,121.39140877149035,1.59855249417665,69.8441333770752,87,74.478919506073,3299
1.5909207080836056,1715421519.7922277,122.41307492845642,123.87116366827063,1.4580887398142006,76.50440859794617,88,81.1397647857666,3629
1.5831235713321932,1715421527.1360219,123.95410562389414,125.55012477937856,1.5960191554844232,83.84713864326477,89,88.48355889320374,3992
