_step,l2_error,time,loss_interior,step,_runtime,_timestamp,loss_boundary,loss
25,0.7356364420129884,5.81610631942749,7.523397541162427,25,9.606523036956787,1714607021.881722,0.3416643002389088,7.865061841401336
26,0.7568435831251998,5.951695442199707,7.2807278332619,26,9.742000579833984,1714607022.0171995,0.37586930994992807,7.656597143211828
27,0.6958730251382148,6.086254358291626,7.108231262940293,27,9.87656307220459,1714607022.151762,0.39147971348730676,7.4997109764275995
28,0.6905169618338783,6.22154974937439,7.03888456169713,28,10.011842250823975,1714607022.2870412,0.3376009730014446,7.376485534698575
29,0.6880432271336111,6.356623649597168,6.854113676668363,29,10.146962404251099,1714607022.4221613,0.3403517120572096,7.194465388725573
30,0.6956391873580821,6.491928577423096,6.642276562528706,30,10.282256126403809,1714607022.557455,0.33268932327025175,6.974965885798958
31,0.7051602788226587,6.627565622329712,6.6112225372521785,31,10.417875051498413,1714607022.693074,0.33560803626968816,6.946830573521867
32,0.6958235575565608,6.764611005783081,6.568549441895809,32,10.55497670173645,1714607022.8301756,0.34451481977804466,6.913064261673854
33,0.6809691814345092,6.900353908538818,6.503804723801511,33,10.690683603286743,1714607022.9658825,0.3448450917950967,6.848649815596607
34,0.6653463157485427,7.036613464355469,6.463128279101681,34,10.827046871185303,1714607023.1022458,0.33525772277851357,6.7983860018801945
35,0.676171554392164,7.173174619674683,6.2932944284209,35,10.963542938232422,1714607023.2387419,0.3112939819013309,6.604588410322231
36,0.6593995354449289,7.308973550796509,6.20730079054489,36,11.09938383102417,1714607023.3745828,0.320561906476118,6.527862697021008
37,0.631173614589025,7.446567535400391,6.1265351467742315,37,11.236977100372314,1714607023.512176,0.3127663307199168,6.439301477494149
38,0.6481493498044839,7.582588195800781,6.024481036277798,38,11.372985601425171,1714607023.6481845,0.2925363707956439,6.317017407073442
39,0.711159510005405,7.7194647789001465,5.972147991374832,39,11.509823083877563,1714607023.785022,0.30334105382422444,6.275489045199056
40,0.6244183195405575,7.857435941696167,5.817299885284574,40,11.647868156433105,1714607023.923067,0.3551314901448528,6.172431375429427
41,0.6414643055004525,8.125344276428223,5.682667682918937,42,11.915788173675537,1714607024.190987,0.25770303169021996,5.940370714609156
42,0.5728004407230187,8.6571524143219,5.105678396918515,46,12.447499990463257,1714607024.722699,0.260234112244313,5.365912509162828
43,0.6584300158011405,9.190778732299805,5.0087622633698965,50,12.981245517730713,1714607025.2564445,0.2878730947820785,5.296635358151975
44,0.6074064466603154,9.862176656723022,4.658135634851851,55,13.652634620666504,1714607025.9278336,0.2446247980666455,4.902760432918496
45,0.4899481082101564,10.691835403442383,3.630185028553003,61,14.482616424560547,1714607026.7578154,0.24572491482339417,3.875909943376397
46,0.5728621973705151,11.49696660041809,2.633021294661044,67,15.28770899772644,1714607027.562908,0.2120856519305471,2.845106946591591
47,0.48788262750560796,12.294701099395752,2.5492723399446438,73,16.085074424743652,1714607028.3602734,0.22551836191473698,2.7747907018593807
48,0.5513622491826238,13.41374683380127,2.0429697754325313,81,17.204383611679077,1714607029.4795825,0.24963464027299648,2.2926044157055276
49,0.5511504055052613,14.4851655960083,1.8463954779698506,89,18.27576518058777,1714607030.550964,0.23393591189823754,2.080331389868088
