time,_runtime,_step,loss_interior,l2_error,loss_boundary,step,loss,_timestamp
9.46018648147583,13.365237951278687,43,13.422528553725996,0.7308872153176185,0.36872992271285493,50,13.791258476438852,1714579050.5833879
10.216194152832031,14.120673179626465,44,13.359498116976074,0.7466528958091295,0.37905905972356235,55,13.738557176699636,1714579051.338823
11.124094724655151,15.028530597686768,45,13.108273415711585,0.7332448401629277,0.36161292662835753,61,13.469886342339942,1714579052.2466805
12.01709270477295,15.921687364578247,46,13.087260123791554,0.7199335051648118,0.33029519564727305,67,13.417555319438826,1714579053.1398373
12.919235229492188,16.82372212409973,47,13.093531992835853,0.7104928297393257,0.32040026381848796,73,13.413932256654341,1714579054.041872
14.101809740066528,18.00626826286316,48,13.101806513191184,0.6980139973791549,0.3078269606205727,81,13.409633473811756,1714579055.2244182
15.286495923995972,19.19154119491577,49,13.110049104539621,0.6825139797537183,0.29395409379994464,89,13.404003198339566,1714579056.409691
16.67895221710205,20.58389949798584,50,13.117679319985196,0.663355757121947,0.2779525782930497,98,13.395631898278246,1714579057.8020494
18.19083547592163,22.09579348564148,51,13.12566888892151,0.6451945863319023,0.26051358075424785,107,13.386182469675758,1714579059.3139434
19.892430782318115,23.79691982269287,52,13.132347534554203,0.6252813838218378,0.24401386989137125,118,13.376361404445575,1714579061.0150697
21.7102689743042,25.6147940158844,53,13.13375350866361,0.6052723584141448,0.2290393544307218,130,13.362792863094331,1714579062.832944
23.64869737625122,27.553627729415894,54,12.96134099031068,0.5639559580141177,0.20241775605757953,143,13.16375874636826,1714579064.7717776
25.7462158203125,29.65078854560852,55,12.957528429140726,0.5623513645197697,0.20225045266572403,157,13.159778881806451,1714579066.8689384
28.024340391159058,31.92886757850647,56,12.94894507574288,0.5605467154678387,0.20254859096725097,172,13.151493666710131,1714579069.1470175
30.732160091400146,34.63686966896057,57,12.85194100970831,0.5567634381366733,0.20782684203096297,190,13.059767851739274,1714579071.8550196
33.43586468696594,37.3408420085907,58,12.068252700889973,0.5530645908374909,0.22866303885508893,208,12.296915739745062,1714579074.558992
