_runtime,loss_interior,time,_step,loss_boundary,l2_error,_timestamp,loss,step
10.484306812286377,2.5050254724899332,6.676063776016235,44,0.34037544039668144,0.6146694626222203,1714838860.6135938,2.845400912886615,55
10.996099710464478,2.1289020573539843,7.187854766845703,45,0.24847792680209768,0.5299995112657921,1714838861.1253867,2.377379984156082,61
11.510896444320679,1.84706137755983,7.702639818191528,46,0.22450098807265806,0.4608017651281658,1714838861.6401834,2.071562365632488,67
12.023428916931152,1.6283359464589764,8.215179204940796,47,0.18200281206057736,0.47638859892448904,1714838862.152716,1.8103387585195538,73
12.707374572753906,1.4373775819587997,8.899107694625854,48,0.1510020227693749,0.4087076531853224,1714838862.8366616,1.5883796047281746,81
13.394523859024048,1.2745339523873882,9.586239576339722,49,0.1411459481200439,0.3803217229127754,1714838863.5238109,1.415679900507432,89
14.164288759231567,1.1391096627971804,10.35605525970459,50,0.14263779831458834,0.3889808803272184,1714838864.2935758,1.2817474611117687,98
14.937804460525513,1.0540732488064608,11.129509925842285,51,0.1024149652556795,0.3290772637456382,1714838865.0670915,1.1564882140621404,107
15.877611875534058,0.8820656811034476,12.069343090057373,52,0.09135581680924522,0.31255412551462386,1714838866.0068989,0.9734214979126928,118
16.936406135559082,0.553505226609969,13.12808632850647,53,0.07406533038122595,0.3032705341643127,1714838867.0656931,0.627570556991195,130
18.078864574432373,0.3044302067239995,14.270581722259521,54,0.037191390930452005,0.22448573938611782,1714838868.2081516,0.3416215976544515,143
19.291799783706665,0.1706014842976031,15.483285665512085,55,0.034259217048740014,0.18096683925097104,1714838869.4210868,0.20486070134634313,157
20.580989360809326,0.09111383659829228,16.772736310958862,56,0.03310855832601602,0.19311079255876537,1714838870.7102764,0.12422239492430831,172
22.110624313354492,0.06405290223862933,18.30216956138611,57,0.018915010448260553,0.13194578802452073,1714838872.2399113,0.08296791268688988,190
23.648590803146362,0.04354346991232804,19.840254068374634,58,0.014674952490102942,0.10923666137164036,1714838873.7778778,0.05821842240243098,208
25.494079113006592,0.03257523758663452,21.685537099838257,59,0.010033065552727333,0.09491856155959585,1714838875.623366,0.042608303139361856,229
27.491909980773926,0.023947384714993167,23.683425903320312,60,0.008074954815038159,0.0857747826717986,1714838877.621197,0.03202233953003133,252
29.72063636779785,0.018740176155694812,25.912081241607666,61,0.004554150367101915,0.06256094414362866,1714838879.8499234,0.023294326522796727,277
32.21218705177307,0.013988653176993866,28.403132438659668,62,0.002835841061032171,0.052376956986417214,1714838882.341474,0.01682449423802604,305
34.790539503097534,0.01123511871575,30.982045650482178,63,0.0016389360042379977,0.04019487654839018,1714838884.9198265,0.012874054719987997,335
37.75083875656128,0.009037462093873775,33.94191384315491,64,0.000982421496641967,0.0323823134625566,1714838887.8801258,0.01001988359051574,369
40.912402868270874,0.007500139440121194,37.103710889816284,65,0.0007371611829081187,0.029390821772538944,1714838891.0416899,0.008237300623029313,406
44.32155656814575,0.006021422151689389,40.51324677467346,66,0.0005543579037879436,0.0242088210362725,1714838894.4508436,0.006575780055477333,446
48.17672061920166,0.0045845887295056925,44.368430614471436,67,0.00041496123381925474,0.021370950378887477,1714838898.3060076,0.004999549963324947,491
52.40242862701416,0.0035238851539748334,48.594090700149536,68,0.00023124452036710658,0.016682552764683566,1714838902.5317156,0.0037551296743419398,540
57.02073311805725,0.0025829050171179936,53.21216440200806,69,0.00021547013157321393,0.0169700189704893,1714838907.1500201,0.0027983751486912074,594
62.17293620109558,0.001770320067058655,58.3645703792572,70,0.00019880302758833564,0.015985613309458725,1714838912.3022232,0.0019691230946469905,653
67.89528751373291,0.0011345784521563937,64.08697962760925,71,0.00013915393255619916,0.01318246512560611,1714838918.0245745,0.0012737323847125928,718
74.25956583023071,0.0006845660245755563,70.45127630233765,72,7.643243124241771e-05,0.009663472553346897,1714838924.3888528,0.000760998455817974,790
81.2133150100708,0.0003865437925319906,77.4049346446991,73,5.648585739796641e-05,0.008466888429268704,1714838931.342602,0.000443029649929957,869
88.78268313407898,0.00023446652861124157,84.97404074668884,74,3.7419094771476334e-05,0.007009287722103536,1714838938.9119701,0.0002718856233827179,956
97.18183159828186,0.00013667364786307994,93.37346053123474,75,3.031815062948573e-05,0.006518598479075648,1714838947.3111186,0.00016699179849256567,1052
106.18394351005554,9.057931496256436e-05,102.3756582736969,76,2.2538385964671942e-05,0.005893501674557201,1714838956.3132305,0.0001131177009272363,1157
116.04642939567566,6.512367096890017e-05,112.2376880645752,77,1.7470331007838174e-05,0.0053893587319157575,1714838966.1757164,8.259400197673834e-05,1272
127.08965516090393,4.6458464576717985e-05,123.28125166893005,78,1.4651525954111847e-05,0.004952049116648886,1714838977.2189422,6.110999053082983e-05,1400
139.01139879226685,3.688393307059568e-05,135.20231556892395,79,1.1942913974103937e-05,0.004476505267659137,1714838989.1406858,4.8826847044699616e-05,1539
152.32306933403015,2.9949520583971043e-05,148.51433730125427,80,9.283644622286223e-06,0.004019476986297359,1714839002.4523563,3.9233165206257266e-05,1693
