loss,time,_timestamp,loss_interior,step,_step,l2_error,loss_boundary,_runtime
7.805907715044339,17.789016485214233,1714591716.263861,7.340579851819384,50,43,0.8636154659895893,0.46532786322495456,21.562867879867554
7.223898041728728,19.382662534713745,1714591717.8572664,6.741596857592428,55,44,0.8827953206143939,0.48230118413630013,23.156273365020752
6.514117063721126,21.275341272354126,1714591719.7499435,5.991525063520474,61,45,0.9236421008841472,0.5225920002006512,25.04895043373108
6.2205535350208585,23.178727865219116,1714591721.653286,5.6841224624812625,67,46,0.9344960568078768,0.5364310725395959,26.952292919158936
6.048538351256086,25.08979892730713,1714591723.5646012,5.502663815481074,73,47,0.9441592598109569,0.545874535775012,28.86360812187195
5.794580108316407,27.640923738479614,1714591726.115982,5.234525507440201,81,48,0.9556209677385735,0.5600546008762066,31.41498899459839
5.517130248415488,30.17492151260376,1714591728.6496904,4.939331343940539,89,49,0.9723096907450824,0.5777989044749491,33.948697328567505
5.115057732697407,33.04550075531006,1714591731.5202127,4.519311043340609,98,50,1.0025954502694083,0.5957466893567975,36.8192195892334
4.631220028651139,35.91318655014038,1714591734.3877456,4.011424618187769,107,51,1.0062558880607684,0.6197954104633694,39.68675255775452
4.214674865663397,39.42905330657959,1714591737.9038186,3.5904598551349554,118,52,1.0086621777207045,0.6242150105284417,43.20282554626465
4.106450480073526,43.33182668685913,1714591741.8067114,3.4815082194773748,130,53,1.0093376312107374,0.624942260596152,47.10571837425232
3.992930461853864,47.70060610771179,1714591746.1754925,3.369742705340983,143,54,1.0109073162995994,0.623187756512881,51.474499464035034
3.8598485768691972,52.28299927711487,1714591750.7578378,3.23753293346046,157,55,1.0097361088114647,0.6223156434087376,56.05684471130371
3.7024850755036693,57.064003467559814,1714591755.539009,3.081430315350552,172,56,1.0045622311170024,0.6210547601531174,60.83801603317261
3.5186673330378397,62.759639501571655,1714591761.2344341,2.9014831194440034,190,57,1.0014190959529132,0.6171842135938362,66.53344106674194
3.3151359282720274,68.51845049858093,1714591766.9934666,2.7040904731655724,208,58,0.9952399253239708,0.611045455106455,72.2924735546112
3.1275891273861083,75.21080994606018,1714591773.685432,2.5258922148022,229,59,0.9905798980329131,0.6016969125839087,78.9844388961792
2.89695859019086,82.49181771278381,1714591780.9665282,2.303838319107606,252,60,0.9781585287806909,0.593120271083254,86.26553511619568
2.595806338994378,90.48923754692078,1714591788.964021,2.020026509994153,277,61,0.9649972472039232,0.5757798290002253,94.26302790641785
2.2467255943521156,99.45615005493164,1714591797.93082,1.6940106887712048,305,62,0.9432493482658095,0.5527149055809111,103.22982692718506
1.6667398030716416,109.34867191314697,1714591807.823256,1.1689097214856927,335,63,0.8863839037678082,0.49783008158594894,113.12226295471191
1.0947130169805543,120.04661345481873,1714591818.521201,0.688322666908518,369,64,0.7856612072197817,0.4063903500720365,123.82020783424377
0.9014118583004178,131.84377217292786,1714591830.318509,0.5387903841084805,406,65,0.7379332515943792,0.3626214741919373,135.617516040802
0.7607440877480918,144.57078552246094,1714591843.0457306,0.42930123797190844,446,66,0.701949582025068,0.3314428497761834,148.34473752975464
0.6471354413043473,158.94751167297363,1714591857.4221578,0.34636236284868627,491,67,0.6656518246324696,0.300773078455661,162.72116470336914
0.5481488891800715,174.78574538230896,1714591873.260511,0.2785056066910251,540,68,0.6261888493208191,0.26964328248904645,178.5595178604126
0.4701149123227803,191.86610078811646,1714591890.3408868,0.22923985518641843,594,69,0.5867394543005807,0.24087505713636187,195.6398937702179
0.4039748741601079,210.66162395477295,1714591909.1363535,0.1928919465608357,653,70,0.5399800546939901,0.21108292759927225,214.43536043167114
0.35135077678201143,231.6125943660736,1714591930.0873027,0.16612797731210163,718,71,0.4958396210799132,0.18522279946990977,235.38630962371826
0.29191472650154354,254.29102420806885,1714591952.7657619,0.13823837735558478,790,72,0.44346178695037153,0.15367634914595876,258.06476879119873
0.2515970215830008,279.2674014568329,1714591977.742211,0.11766792832890052,869,73,0.40212529089047183,0.13392909325410024,283.04121804237366
0.21260407116049956,307.1175346374512,1714592005.5922167,0.09729334010636012,956,74,0.3589421982487777,0.11531073105413944,310.8912236690521
0.18527252776528758,337.5722086429596,1714592036.047209,0.08127601570917745,1052,75,0.3293660108225938,0.10399651205611013,341.34621596336365
0.15533548260059638,371.0968191623688,1714592069.571527,0.06287027192075051,1157,76,0.29940207113636,0.09246521067984585,374.87053394317627
0.1354881855885719,407.9257981777191,1714592106.4005854,0.051313537984163514,1272,77,0.28045874796461473,0.08417464760440839,411.69959235191345
0.10835716597968018,448.32130789756775,1714592146.7962668,0.037865830224310955,1400,78,0.25206950408640183,0.07049133575536921,452.09527373313904
0.10246989883274621,492.7323782444,1714592191.2070143,0.03540585949671645,1539,79,0.24569619538616824,0.06706403933602977,496.5060212612152
0.08695429748453624,542.2011151313782,1714592240.6759953,0.029696097769838083,1693,80,0.22171963935806047,0.05725819971469816,545.9750022888184
0.07218748122619141,597.0829396247864,1714592295.5579925,0.024896420273356992,1863,81,0.20720456772307125,0.04729106095283442,600.8569993972778
0.05621673046970464,656.7032449245453,1714592355.1784053,0.01983154365422121,2049,82,0.1831131087837506,0.03638518681548343,660.4774122238159
0.04095431684331759,721.839524269104,1714592420.314508,0.014899753065346005,2254,83,0.15680000192507368,0.02605456377797158,725.6135149002075
0.032569627236967186,793.273595571518,1714592491.7485716,0.012262568766604677,2479,84,0.1399410937844395,0.020307058470362505,797.0475785732269
0.02550646197652071,871.8774619102478,1714592570.352418,0.010096937111183882,2727,85,0.12393549668254437,0.015409524865336827,875.6514248847961
0.021021359393223076,958.6779050827026,1714592657.1528907,0.00864170229526585,3000,86,0.1124792893260528,0.012379657097957226,962.4518976211548
0.01709700199134764,1053.7549476623535,1714592752.230086,0.007312378375542181,3299,87,0.10116952675450426,0.009784623615805458,1057.5290930271149
0.013443673599949314,1158.7467403411865,1714592857.2215526,0.0059973914957037805,3629,88,0.08938750356472609,0.0074462821042455335,1162.5205595493317
0.010357407269058816,1274.4348018169403,1714592972.9096773,0.0048085015283833585,3992,89,0.07797744111365516,0.005548905740675458,1278.208684206009
0.007827723081557218,1401.8161747455597,1714593100.2911844,0.0037758232791595837,4391,90,0.06728017805057632,0.004051899802397634,1405.5901913642883
0.005713220603632047,1541.944310426712,1714593240.419226,0.0028810880551314436,4831,91,0.05704146813867453,0.002832132548500603,1545.718232870102
0.004251248805085795,1696.0997242927551,1714593394.5746338,0.0022426610887585105,5314,92,0.04877713136647398,0.0020085877163272844,1699.8736407756805
0.0032678735537107926,1865.651754617691,1714593564.1266184,0.0018089131767616616,5845,93,0.04212949916820729,0.001458960376949131,1869.4256253242493
0.0028053207192373273,2052.210086584091,1714593750.6850011,0.0016013146564846075,6429,94,0.03855812258598794,0.0012040060627527198,2055.9840080738068
0.0022513578136333927,2258.622001886368,1714593957.096997,0.0013456004917553714,7072,95,0.033759479155099775,0.0009057573218780214,2262.396003961563
0.001921173707854189,2486.082597255707,1714594184.5575175,0.001187040793220674,7779,96,0.030587019213465058,0.0007341329146335152,2489.8565244674683
0.001623980315904262,2736.1137824058533,1714594434.5897424,0.001038647511009215,8557,97,0.027455755482169067,0.000585332804895047,2739.888749361038
0.0014303096577569611,3000.278038740158,1714594698.7528808,0.0009380804114448393,9385,98,0.02526642663641522,0.0004922292463121217,3004.0518877506256
