step,time,_runtime,l2_error,_step,_timestamp,loss_interior,loss_boundary,loss
31,1.976576805114746,6.0239012241363525,1.5463464155270497,31,1714579995.1940181,136.1241104406158,5.435919296084634,141.56002973670041
32,1.9897353649139404,6.037154197692871,1.8504761804917638,32,1714579995.207271,83.91847604351314,1.1194229419928994,85.03789898550603
33,2.002375602722168,6.049872636795044,1.9267434292115138,33,1714579995.2199895,107.5208484597474,1.7973162430009277,109.31816470274832
34,2.015465497970581,6.062588691711426,1.348052964212005,34,1714579995.2327056,116.26164594208034,1.9706050784283362,118.23225102050867
35,2.028059959411621,6.07516884803772,1.409313078407945,35,1714579995.2452857,102.03950748565393,1.073215792511929,103.11272327816586
36,2.0412237644195557,6.088153600692749,1.6488834991390011,36,1714579995.2582705,103.48529702610126,1.132099992556733,104.617397018658
37,2.054368257522583,6.101637125015259,1.8233735400494964,37,1714579995.271754,107.1766403181148,1.4615887764824587,108.63822909459726
38,2.06894850730896,6.115044832229614,1.8430977658983663,38,1714579995.2851617,107.94514196666202,1.729212480410109,109.67435444707213
39,2.08406662940979,6.1300036907196045,1.619943679508026,39,1714579995.3001206,102.90688477064867,1.7549182397054068,104.66180301035408
40,2.099074363708496,6.14539647102356,1.4693890487711379,40,1714579995.3155134,89.8442006897859,1.440593535531182,91.28479422531707
42,2.127201795578003,6.173465967178345,1.033452491670135,41,1714579995.3435829,87.63469396438603,0.9821806310435378,88.61687459542956
46,2.1727421283721924,6.220050573348999,0.9335080120538757,42,1714579995.3901675,69.44051492174668,1.6472602911974918,71.08777521294418
50,2.2143077850341797,6.2617998123168945,0.8453999583665223,43,1714579995.4319167,63.01369289443615,2.9166500243239724,65.93034291876012
55,2.267345666885376,6.315009832382202,1.4462716316088329,44,1714579995.4851267,18.70075882394115,0.4914624323531322,19.19222125629428
61,2.3269145488739014,6.374500751495361,0.614919462194634,45,1714579995.5446177,18.72308523562111,0.2816582610680401,19.004743496689148
67,2.387284278869629,6.434246778488159,1.1884959554667927,46,1714579995.6043637,18.298577784554904,0.7404766113647092,19.039054395919614
73,2.4466042518615723,6.494325160980225,1.4050485929231156,47,1714579995.664442,9.480593772334794,1.091738548169061,10.572332320503856
81,2.527580499649048,6.575561761856079,1.7105300939634818,48,1714579995.7456787,6.619722546884144,1.798598753447562,8.418321300331705
89,2.605961799621582,6.653719186782837,1.819114987551234,49,1714579995.823836,2.280311224478599,2.2043420129917406,4.48465323747034
