time,loss_interior,l2_error,_timestamp,loss_boundary,step,_runtime,loss,_step
122.40633630752563,9.889131309430016e-05,0.007223329833248063,1730044308.489189,3.5477866673666785e-05,42,122.92696785926819,0.00013436917976796694,41
139.38744139671326,6.333680576757519e-05,0.005328070147724885,1730044325.4703019,2.1376534502856912e-05,46,139.90808081626892,8.47133402704321e-05,42
161.38145685195923,3.950928374435362e-05,0.0039509024145305514,1730044347.4644794,1.1694757893564722e-05,50,161.90225839614868,5.120404163791834e-05,43
189.7187213897705,2.1419017057429463e-05,0.003211837560186135,1730044375.801804,5.447919549945026e-06,55,190.2395830154419,2.686693660737449e-05,44
220.16785717010498,1.1974146413739491e-05,0.002762008660264823,1730044406.2507517,6.021276557712426e-06,61,220.68853068351746,1.7995422971451917e-05,45
259.016916513443,7.893341514023115e-06,0.002558637875957887,1730044445.0999494,4.778515086494373e-06,67,259.53772830963135,1.2671856600517489e-05,46
297.5080509185791,4.067767296339709e-06,0.001730171886354989,1730044483.5911088,2.7492421789023313e-06,73,298.02888774871826,6.81700947524204e-06,47
349.2943596839905,3.1566620469389504e-06,0.0016962815846567852,1730044535.377457,1.8654329043190594e-06,81,349.8152358531952,5.022094951258009e-06,48
400.56713008880615,1.741100996779022e-06,0.0010245442258429605,1730044586.6501868,1.3635700248111646e-06,89,401.0879657268524,3.1046710215901866e-06,49
458.87242817878723,8.638508582114593e-07,0.0007085297631681158,1730044644.9553323,5.300770185697611e-07,98,459.39311122894287,1.3939278767812204e-06,50
517.1065127849579,6.536751197078447e-07,0.0005234755092508863,1730044703.1896043,3.245087388421047e-07,107,517.6273832321167,9.781838585499494e-07,51
588.3254339694977,4.771723566488079e-07,0.00039355408348962825,1730044774.4085078,2.517819684922702e-07,118,588.8462867736816,7.289543251410781e-07,52
666.2036237716675,3.41399095746724e-07,0.00035591623433503793,1730044852.2867448,1.855355127844905e-07,130,666.7245237827301,5.269346085312145e-07,53
750.5136849880219,2.4825140811144157e-07,0.0003228974380027529,1730044936.5967765,1.4761996113735366e-07,143,751.0345554351807,3.9587136924879523e-07,54
840.4222674369812,2.1330079773676082e-07,0.0002709324032560546,1730045026.5053713,9.902289129013823e-08,157,840.9431502819061,3.1232368902689903e-07,55
937.1587519645691,1.8582360788597517e-07,0.0002451689849075531,1730045123.2418466,9.882882896060094e-08,172,937.6796255111694,2.846524368465761e-07,56
1053.3120212554932,1.5394360128608392e-07,0.00023568356818223134,1730045239.395152,7.30918676887807e-08,190,1053.8329310417175,2.2703546897486462e-07,57
1169.2366983890533,1.409937109802422e-07,0.00020994380617926758,1730045355.3198106,6.148757182087854e-08,208,1169.7575895786285,2.0248128280112073e-07,58
1305.155014038086,1.2317356919428489e-07,0.00020503020454112046,1730045491.2381694,5.3895152904538937e-08,229,1305.675948381424,1.7706872209882382e-07,59
1454.2143075466156,1.0077854300126288e-07,0.00018467538652521706,1730045640.297372,4.74070722413467e-08,252,1454.735151052475,1.4818561524260957e-07,60
1615.440294265747,1.0026766505181541e-07,0.00017579530204518763,1730045801.5233948,3.9643816232216916e-08,277,1615.961173772812,1.3991148128403234e-07,61
1795.2829632759094,8.93200419448429e-08,0.00016258903350211524,1730045981.3660567,3.879908636595473e-08,305,1795.8038356304169,1.2811912831079764e-07,62
1988.4882745742798,7.968099927312423e-08,0.00016097739573248397,1730046174.5713725,3.2777386104226114e-08,335,1989.0091514587402,1.1245838537735035e-07,63
2207.7357852458954,7.209154180018935e-08,0.00014425219229784124,1730046393.8188848,3.0016146921379745e-08,369,2208.256663799286,1.0210768872156909e-07,64
2446.0610513687134,6.400901282660463e-08,0.00013591474826133866,1730046632.1441693,2.779756786108259e-08,406,2446.5819482803345,9.180658068768722e-08,65
2703.6031181812286,5.832832947942402e-08,0.00012734071085677818,1730046889.6862247,2.599661261700174e-08,446,2704.124003648758,8.432494209642576e-08,66
2993.070121049881,5.071168240349911e-08,0.00012342073569640775,1730047179.153207,2.080275873050781e-08,491,2993.5909860134125,7.151444113400691e-08,67
3005.7517569065094,5.269751820690067e-08,0.000127631996887595,1730047191.8345768,2.0765706938614584e-08,493,3006.2723557949066,7.346322514551525e-08,68
